,KCCAns,QueryText
597,"Crop name - Tomatoes (Kharif-June - July and Rabbi-Sept-Oct-Mar and Summer-Dec-Jan)

Seed ratio (kg / ha) - 400 gm and 125 gm (hybrid) (seedlings - 30-45 days)

Spacing of difference (cm) - 75 * 90, 30 * 40 and 90 * 30

Duration of the crop (days) 160-180

Hectare yield (quintals) 250-400 (30-40 tonnes), hybrid-500-700 (55-60 tonnes)

Tomato-Jati-Pusa Ruby, Pusa Gaurav, Pusa Shital, Arka Gaurav, Roma, Rupali, Vaishali, Bhagyashree, JKT-811 JK-Axis

Improved caste-Bhagyashree, Dhanashree, Phule Raja, Pusa Gaurav, Rajashree, Roma, 1057 (SYNGENTA)",TOMATO CULTIVATION
598,ttack white grub on ginger: Humnasur 6 kg/acre(Patil Biotech),asked about attack white grub on ginger?
599,Control of Fruit Borer on Brinjal - Spray fame  5ml / 15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science,Attack of Fruit Borer on Brinjal ?
600,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,REDDNINg OF COTTON ?
601,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKED ABOUT FUNGAL ATTACK ON COTTON?
602,VARIETIES OF TINDA -CHITRA-BSS-695 ARKA TINDA,VARIETIES OF Indian squash (TINDA) ?
603,bluecopper 400 gram +humic acid 300 ml throgh drip .,asked about attack of wilt of ginger crop?
604,nematode control  -you can drenching nemazol 1 liter / acre,attack of nematode on ginger?
605,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF LEAF EATING CATERPILLAR ? ???? ?????? / ?????????? ??? ????????
606,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,BLIGHT ATTACK  ?
607,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,WILT ATTACK OF TURMERIC ?
608,feryilizer dose in onion  -SPRAY 12 61 00  60 GM + MICROLLA  30 ML /15 LITERS OF WATER,asked about feryilizer dose in onion ?
609,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER,GROWTH of chilli?
610,apply potash 1 kg / acre,asked about fertilizer dose on sugarcane ?
611,FERTILIZER SPRAY ON BRINJAL - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKING ABOUT FERTILIZER SPRAY ON BRINJAL ?
612,"Guru (UPL) .  Alpha-Cypermethrin 10%, 200-300 ml/acre",Bollworms in cotton?
613,MARKET RATE OF MAIZE-AURANGABAD=1100-1275RS/QTL	…,FARMER ASKED ABOUT MARKET RATE OF MAIZE?
614,"ATTACK OF THRIPS , APHIDS , JASSIDS on onion - Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer","ASKING ABOUT ATTACK OF THRIPS , APHIDS , JASSIDS on onion ?"
615,weed management for gram  - pre emergence herbicide for gram is pendimethaline,asked about weed management for gram ?
616,attack thrips on chilli: SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,asked about attack thrips on chilli?
617,BLANK CALL,BLANK CALL
618,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA,BLIGHT ATTACK ? ????  ???
619,Spray Bavistine 30gm+MICROLLA -30 ML /15lit of Water.,BLIGHT ATTACK OF GINGER ?
620,YEOLA	UNHALI	QUINTAL	lower 300	hogher v1697	modal 1200,asked about market rate of onion ?
621,"Jyothi, Ganesh, Co 1, YCD 1, Araktha, Rudhra, Ruby and Mirudhula are the commercially cultivated pomegranate varieties.",VARIETIES OF POMEGRANATE?
622,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKED ABOUT Flower Drop OF COTTON ?
623,fungal attack -drenching blue copper  2 gm / liter of water,fungal attack on banana?
624,MARKET RATE OF cotton -1300 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF cotton  ?
625,Spray Actra 5 gm + bavistin 30 gm/15 Liter of Water (Thiomithoxom 25%)-Syngenta,Attack of Aphids on cotton
626,ALHE NAGAPUR MARKET 2000 TO 4000 RS/QUNTAL,MARKET RATE?
627,ATTACK CATERPILLAR ON CAULIFLOWER: Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK CATERPILLAR ON CAULIFLOWER?
628,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,ATTACK OF SUCKING PEST ON TUR ?
629,"VARIETIES OF GUAVA = SARDHAR , ALAHABAD SAFED ,LALIT , SWETA",VARIETIES OF GUAVA ?
630,VARIETIES OF TOMATO -PUSA RUBI PUSA SHITAL ARKA GAURAV ROMA RUPALI  BHAGYASHREE JKTH-811 JK -AKSHAY KRISHNA AVINASH-2 AVISHKAR Ananya,VARIETIES OF TOMATO ?
631,Spray Rogar 15ml/15 Liter of Water (Dimethoate)-Cheminova,asked about white flies on mango ?
632,Spray Confidor 10 ml r 10 ml /15 liter of  water,attack of thrips on chilli?
633,SEED TREATMENT FOR SORGHUM  SEEDS ARE TREATED WITH SULPHUR 4 GM / 1 KG OF SEEDS THEN 25 GM AZATOBACTOR + 25 GM PSB,ASKED ABOUT SEED TREATMENT FOR SORGHUM ?
634,"100 kg: SB-11, TAG-24, TG-26, JL-501, Flowers 6021, 120 to 125 kg Flour Progression, Phule Vyas, TPG-41, Flowers Unp, Phule Asgrati",ground nut variety ?
635,ABOUT WHITE FLY ATTACK ON COTTON SPRAY-TOKEN 7 GRAM/15 LITRE OF WATER.,FARMER ASKED ABOUT WHITE FLY ATTACK ON COTTON ?
636,SPRAY 12 61 00  60 GM + MICROLLA  30 ML /15 LITERS OF WATER.,fertilizer for onion ?
637,For control attack of blight on onion Spray Antracol 30 gm/15 Liter of Water (Propineb),Asked about attack of blight on onion ?
638,Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK OF POD BORER IN PIGEON PEA ?
639,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL,Attack of White Fly on COTTON?
640,FERTILIZER DOSE FOR = SPRAY 00:52:34 60 GM + micro nutrient 20 ML / 15 LITER WATER,FERTILIZER DOSE for aster ?
641,FOR CONTROL ATTACK OF WHITE GRUB ON BHINDI DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER,ASKED ABOUT ATTACK OF WHITE GRUB ON BHINDI ?
642,Spray Oberon 15 ml / 15Lit of Water.(Spiromesifen) BAYER CROP SCIENCE,Asked about attack of red mites on bhindi ?
643,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,ASKED About ATTACK OF SUCKING PEST ON COTTON?
644,SEED RATE OF SORGHUM = 7.5-10 KG/QTL,SEED RATE OF SORGHUM ?
645,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ASKED ABOUT ATTACK OF CATERPILLAR ON BRINJAL?
646,"Varieties of sorghum-Phule vasudha,phule yashodha.",Asked about Varieties of sorghum?
647,VARIETIES OF SESAME -PHULE TIL NO-1 TAPI PADMA JLT-408,ASKED ABOUT VARIETIES OF SESAME ?
648,SPRAY FOLIO GOLD 15ML / 15LIT WATER.,ASKING ABOUT BANANA  CROP ?
649,mealy bug attack on papaya- Spray profenophos 30 ml/ 15 liter of water,asked about mealy bug attack on papaya ?
650,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC),ASKED ABOUT ATTACK OF MEALY BUG ?
651,spray urea 200 gm 10 litre water.,asked about flower drop in brinjal ?
652,Use ethrel 2-4 ml/liter,ASKING ABOUT Leaf falling in lemon ?
653,SUCKING PEST ON BANANA - Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,ASKED ABOUT SUCKING PEST ON BANANA ?
654,Lasenta 150 gm/400 liter by drenching.,ASKING ABOUT ATTACK OF WHITE GRUB ON SUGARCANE ?
655,Drenching of Chloropyriphos 30 ml / 15 lit of water.,ASKING ABOUT attack of caterpiller on TURMERIC?
656,market rate of tur = RS 2800/QUINTAL,asked about market rate of tur ?
657,SPRAY Leocine 7 ml 0r 00:52:34 75 gram/15 liter of water.,ASKING ABOUT STOP EXTRA GROWTH OF?
658,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC),ASKING ABOUT ATTACK OF MEALY BUG ON PAPAYA  ?
659,FERTILIZER SPRAY ON PAPAYA - SPRAY 00 52 34 60 GM /15 Lit of Water.,ASKING ABOUT FERTILIZER SPRAY ON PAPAYA ?
660,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ASKED ABOUT ATTACK OF FRUIT BORER ON BRINJAL?
661,"WEED MANAGEMENT IN SUGARCANE - SPRAY 2,4 D AMINE SALT 58% SL 40 ML + SENCOR (Metribuzin 70 WP) 30 GM /15 LITERS OF WATER",ASKED ABOUT WEED MANAGEMENT IN SUGARCANE ?
662,BRINJAL -SPRAY SOLOMON - 8ML/15 LIT.OF WATER,ATTACK OF SUCKING PEST ON BRINJAL ?
663,Spray Regent 15 ml /15 liter water (Fipronil 5 SC)-Bayer,ATTACK OF THRIPS AND  JASSID?
664,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,asked about attack of sucking pest n cotton ?
665,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKED ABOUT TOMATO FERTILIZER DOSE ?
666,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ?
667,drench* Lancenta * (Imidacloprid 40% + Fifnul 40%) Mix 150 g 400 liters of water,ATTACK OF WHITE GRUB?
668,attack of fungus on capsicum  - Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,asked about attack of fungus on capsicum ?
669,Spray Chloropyriphos 30 ml/15 Lit of Water.,asking about spryaing of mango ?
670,Spray Bavistine 30gm/15lit of Water.,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ? ????  ??? ????????
671,25:50:30 npk at time of sowing .,fertilizer dose for gram ?
672,APPLICATION OF 10:26:26 1 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE,ASKING ABOUT FERTILIZER DOSE FOR green gram?
673,ABOUT WHITE GRUB ATTACK IN ONION CROP Drenching Of Chloropyriphos 30 ml/15 Lit of Water.,FARMER ASKED ABOUT WHITE GRUB ATTACK IN ONION CROP ?
674,attack of aphids on chilli - Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer,asked about attack of aphids on chilli ?
675,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,asked about sucking pest on chilli ?
676,00:52:34 60 GM+ MICROLA 30 ML /15 LITER WATER,fertilizer GROWTH
677,Spray Plano fix 4 ml/15 Lit of Water.(NAA) BAYER,FLOWER DROP ?
678,SPRAY PLANO FIX 3 ML /15 LITER WATER.,FARMER ASKED ABOUT FLOWER DROP LEMON ?
679,"ATTACK OF APHIDS  on sugarcane-  

Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta",ATTACK OF APHIDS  on sugarcane?
680,Market Rate of onion =  RAHATA	----	QUINTAL	5603	100	1300 rupees/qtl,Asking About Market Rate of onion  ?
681,"gram is a very sensitive crop. Green gram requires about 25 cm of water. After sowing, give a light water. So the germination was good. In the medium soil should be given about 25 to 30 days. After 45 to 50 days, the second water and the third water should be given after 65-70 days if required. Sprinkle the soil according to the fudge and the necessary.",asked about water management in gram
682,APPLICATION OF 18:46:00--50 KG /ACRE,FERTILIZER DOSE FOR Onion
683,Spray super confidor 10 ml /15 liter of water (Imida 17.8 sl)-Bayer,Attack of Aphids and Sugarcane pyrilla (mava)
684,Spray Confidor 10 ml  /15 liter of water,attack of thrips on cotton?
685,SPRAYING AT FLOWERING STAGE ON CITRUS spray 00:52:34  60 gram +TATA BAHAAR 30 mili / 15 litre of water,ASKING ABOUT SPRAYING AT FLOWERING STAGE ON CITRUS ?
686,MARKET RATE OF COTTON=YAWAL= 4850-5600/QTL,FARMER ASKED ABOUT MARKET RATE OF  COTTON  ?
687,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Jassids/Leaf hoppers? ??????? ????????
688,spray soloman 10 ml /15 ml liter water,attack of shoot borer on brinjal ?
689,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Thrips On papaya?
690,FRUIT DROP  IN COCONUT - APPLICATION OF BORON 40 GM  +CALCIUM NITRATE 40 GM THROUGH DRIP,FARMER ASKED FRUIT DROP  IN COCONUT ?
691,"MARKET RATE OF  SOYBEAN =  3120 - 3135 RS/QTL,,,",ASKED ABOUT MARKET RATE OF  SOYBEAN ?
692,Kaolin Spray 800 ML/1000 lit Water Spray.,Use of antitransparant ?
693,ATTACK OF THRIPS  ON CHILLIES : Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,ASKED ABOUT ATTACK OF THRIPS  ON CHILLIES ?
694,safflower improved variety 4 kg/acer,asked about seed req in safflower ?
695,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF LEAF EATING CATERPILLAR ON PIGEON PEA ?
696,SPACING OF CABBAGE -60*45,ASKED ABOUT SPACING OF CABBAGE ?
697,Spray Confidor 10 ml /Super Confidor 06  ml /15 litar water (Imidacloprid 17.8 %),Attack of Thrips on Orange  ?
698,MARKET RATE of COTTON - 5451 RS/QTL,FARMER ASKED ABOUT MARKET RATE of COTTON ?
699,LATUR SOYABEAN MARKET RATE OF 3025-3350 RS  /QTL,FARMER ASKED ABOUT MARKET RATE OF SOYABEAN  ?
700,MARKET RATE OF cotton- 4321-4900  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF cotton ?
701,attack of citrus canker - spray Streptocycline + blue copper,asked about attack of citrus canker ?
702,spray nim ark 30 mili / 15 liter of water..,asked about attack of caterpiller
703,Scratch Gummosis and Take Potassium Permanganate1% For Wash And Apply Bordo Mixture.,For Gummosis On Mosambi ?
704,cotton MarkeRate oft 5500-5825 rupees/qtl,Asking About Market Rate Cotton ?
705,chilli MarkeRate oft 2200-2600 rupees/qtl,Asking About Market Rate chilli ?
706,SPRAY MICROLA 30 ML + M 45 30 GM/15 LITER WATER,YELLOWING on mosambi ?
707,ATTACK CATERPILLAR ON TUR: Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK CATERPILLAR ON TUR?
708,VARIETIES OF CARROT -PUSA KESHAR PUSA MEDHALI JAMDAGNI,VARIETIES OF CARROT ?
709,Market rate of soyabean-2700-3199/qtl.,Asked about Market rate of soyabean?
710,"MARKET RATE OF onion  IN lasalgaon MARKET –MINIMUM- 700 rupees/qtl ,MAXIMUM - 2550 rupees/qtl",ASKED ABOUT MARKET RATE OF onion IN lasalgaon MARKET?
711,Spray omite 5ml/15 liter water .(Propargite 57% EC) DHANUKA,RED COTTON BUG ?
712,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKED ABOUT ATTACK OF FUNGUS ON MANGO ?
713,ATTACK OF CATERPILLAR ON PIGEON PEA  : Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK OF CATERPILLAR ON PIGEON PEA ?
714,"Planting

Prior to the monsoon, for the cultivation of Saitaalla, see the magda clay of 0.60 by 0.60 to 0.60 meter in the month before the monsoon. 5 bets should be taken 5 meters away. If planted at 5 bi 5 m, the plant will occupy 400 trees. Prior to the rains of hectare hectare, fill with cowpea, single super phosphate, poeta and soil. Thymet 10g should be used in Bangdi mode. For this, half a ton of hectare of farming requires 200 kg of single super phosphate. After this, after planting the rocks, the plant should be cultivated in the monsoon.",ASKED ABOUT CUSTARD PLANTING?
715,"MARKET RATE OF SOYBEAN- 2500,	3312,	3250 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF SOYBEAN?
716,"In VADVANI market -

TODAY Market Rate of Cotton -Minimum- 5500 rupees/qtl and maximum 5800 -rupees/qtl",Asking About Market Rate of Cotton in VADVANI market?
717,"Potato Planting  Selection Information: Choose certified pests and diseases. Use government funding infrastructure, or buy it from National Seed Corporation (National Syed Corporation).



Potatoes have grown full and sprouted on it. Puddle should be thick and well-fed. In the dark space, well-grown shoots are dried. If the veneer is kept in the bedroom, they should be kept in a well ventilated place for 8 to 10 days before impregnation and keep them in good light for better sprout. Generally, it is worthwhile to use 25 to 30 gm weight of 5 cm diameter for whole egg (uncut), generally for egg-shaped cultivation. It is very useful for large sized cultivation. If there is a large sized potato, then weigh it at 25 to 30 gm, and it should be 2 to 3 eyes. It is very important to break the grille and the germs on the spleen as well. Sprinkled spoons should be planted after drying for 10 to 12 hours.",asked about Potato Planting  Selection Information ?
718,MARKET RATE OF COTTON -5481-5500 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF  COTTON?
719,DRENCHING OF Redomil Gold 400 gm+humic Acid 300 ml(Mephonaxon+mancozeb)syngnt THROUGH DRIP,ASKING ABOUT ATTACK OF WILT ON PAPAYA ?
720,Spray Alika 8 ml / 15 lit of water,ASKING ABOUT ATTCK OF THRIPS ?
721,drainching of blue copper -300 gram +humic acid-300 ml/ acre,asked about wilt attack on payaya ?
722,VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV NBH-627 (Sanjay ),Farmer Asked VARIETIES OF BRINJAL ?
723,CONTROL MEASURE OF LEAF MINOR IN LEMON FIELD:- Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna,FARME RASKED ABOUT CONTROL MEASURE OF LEAF MINOR IN LEMON FIELD?
724,"MARKET RATE OF COTTON-5500,	5600,	5500 RS/QUINTAL",ASKED ABOUT MARKET RATE OF  COTTON?
725,JALNA BADNAPUR MARKET RATE OF 8000-8100  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF  COTTON ?
726,SPRAY 00 52 34 60 GM /15 Lit of Water.,"onion fertFERTILIZER SPRAY ON ONION ?

 ?"
727,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1",ASKED ABOUT VARIETIES OF SORGHUM ?
728,Spray Avaunt 10 ml /15 Liter of Water (Indoxacarb 15.8%EC)DuPont,Attack of Caterpillar.
729,"MARKET RATE OF SOYBEAN -JALGAON -2921	3125 RS/QTL,AMBAD 2900 TO	3195RS/QTL",FARMER ASKED ABOUT MARKET RATE OF SOYBEAN ?
730,Spray Bavistine 30gm/15lit of Water.,attack of blight on potato?
731,Spray Boom flower 25  ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,FOR FLOWERING 	?
732,FERTILIZER SPRAY FOR GROWTH in pigeonpea-SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH in pigeonpea?
733,Spray Chloropyriphos 30 ml/15 Lit of Water.,attack of fruit borrer on tomato?
734,WADVANI MARKET RATE OF -5850 -6010 RS /QTL,FARMER ASKED ABOUT MARKET RATE OF COTTON  ?
735,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,asked about fungal attack on capsicum ?
736,VARIETIES OF CLUSTER BEAN -NANDINI NAMRATA PUSA SADABAHAR,VARIETIES OF CLUSTER BEAN ?
737,MARKET RATE OF COTTON-5500 RS/QTL.,FARMER ASKED ABOUT MARKET RATE OF COTTON?
738,"ATTACK OF WILT ON POTATO : DRENCHING 

DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER",ASKED ABOUT ATTACK OF WILT ON POTATO ?
739,MARKET RATE OF COTTON  = MAHUR	5400 - 5600  RS/QTL...,ASKED ABOUT MARKET RATE OF  COTTON  ?
740,"Chloropyriphos 30 ml+ NUVAN 20 ML ( Dichlorvos 76% EC)

15 Lit of Water.",ASKING ABOUT CATERPILLAR OF GUAVACROP?
741,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER,asked about nutrient management
742,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,ATTACK OF SUCKING PEST ON BHENDI  ?
743,Market Rate of cotton - YAWAL	MEDIUM STAPLE	QUINTAL	26	4950	5730rupees/qtl,Asking About Market Rate of cotton ?
744,WADVANI MARKET RATE OF -5700-6030 RS /QTL,FARMER ASKED ABOUT MARKET RATE OF COTTON   ?
745,CONTROLL OF BLIGHT ATTACK ON POTATO-Spray Bavistine 30gm/15lit of Water.,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ON POTATO?
746,	all information provided - thanks for calling in kisan call centre	,Ask about Gernal information
747,Drenching of Chloropyriphos 40 ml / 15 lit of water.,ASKED ABOUT ATTACK OF WHITE GRUB ON SUGARCANE?
748,FERTILISER DOSE for onion - 12 61 00 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER,asking avout FERTILISER DOSE for onion ?
749,"In solapur market -

TODAY Market Rate of ONION -Minimum- 100 rupees/qtl and maximum - 2200 rupees/qtl",Asking About Market Rate of ONION in solapur market?
750,"nutrient for turmeric - drenching 12 61 00 , 4 kilo / ekar",asked about nutrient for turmeric ?
751,"At one time 100 kg of neem cake, 2.5 granary super phosphate, 30 kg potash, 2 bags of ammonium sulphate, 10 ton of fertilizer and 10 microns in need of fertilizer should be given at the time of cultivation, give two bags of ammonium sulphate 1 to 2 times at intervals of 1 month.",FERTILIZER DOSE FOR ONION  ?
752,VARIETIES OF GARDEN PEA -ARKEL JAWAHAR-1 BONVHILA NP-29 JK-124,VARIETIES OF GARDEN PEA ?
753,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH CUSTER APPLE ?
754,"MARKET RATE OF - RS/QUINTAL

5800	6068",ASKED ABOUT MARKET RATE OF cottan?
755,Attack of White Fly  ON BRINJAL - Spray Ullala 8 gm/15 Lit of Water. (Flonicamid 50% WG) UPL,FARMER ASKED ABOUT Attack of White Fly  ON BRINJAL ?
756,SPRAY ALLGRIP (METSULFURON METHYL 20% WG)8 GM /ACRE 25-35 DAYS AFTER SOWING (DUPONT INDIA),WEED MANAGEMENT IN WHEAT ?
757,MARKET RATE OF COTTON  = VADVANI    5800 - 5958 RS/QUINTAL....,ASKED ABOUT MARKET RATE OF  COTTON   ?
758,white fly attack on cotton -Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron),asked about white fly attack on cotton ?
759,SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %),asked about attack of white fly on cotton ?
760,Spray Ullala 8 gm + bavistin 30 gram /15 Lit of Water.,asked about white fly attck on cotton ?
761,SPRAY 00 52 34  60 GM +  MICROLLA 30 ML  /15 Lit of Water.,ASKED ABOUT FERTILIZER SPRAY ON COTTON ?
762,DRENCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER.,ASKING ABOUT  DRENCHING for fungal attack on mango  ?
763,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,FOR FLOWERING ON COTTON
764,"VARIETIES OF CUMIN - R Z-19,R Z- 209,G C- 1",VARIETIES OF CUMIN ?
765,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,Attack of White Fly on cotton ?
766,Spray Proclaim 5gm + cabratol 30ml/ 15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ASKING ABOUT SPRAYING ON BRINJAL?
767,APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE,ASKING ABOUT FERTILISER DOSE FOR tur
768,SPRAY PLANOFIX 4 ML/15 LITER WATER .,FLOWER DROP in cotton ?
769,sUCKING PEST on cotton = SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,ATTACK OF SUCKING PEST on cotton ??
770,Spray Boom flower 30 ml+/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE,FOR FLOWERING  FOR REDGRAM ?
771,Market Rate of soybean  2500-3100 rupees/qtl,Asking About Market Rate of soybean ?
772,SPRAY 00 52 34 60 GM /15 Lit of Water.,Asked about FERTILIZER SPRAY ON bottle Gourd ?
773,Drenching of Chloropyriphos 40 ml / 15 lit of water.,Attack of White Grub ON PIGEON PEA?
774,Fertilizer spray for growth on pigeon pea-Spray of 12:61:00 60gm + microlla 30ml/15 liter water.,Asked about Fertilizer spray for growth in pigeon pea?
775,Spray of Oberon 15 ml / 15Lit of Water.,Asked Attack Red Mites ?
776,Spray Bavistine 30gm/15lit of Water.(CARBENDAZIM 50%WP),FUNGAL ATTACK ON TUR ?
777,Decis -100 4 ml/15 liter of water (deltamethrin)-Bayer,ASKED ABOUT ATTACK OF CATERPILLAR ON COTTON ?
778,KARATE 6 ml/ 10 liter water.,asked about attack of thrips ?
779,FERTILIZER DOSE FOR SUGARCANE : 19 19 19 3 KILO + MICROLLA 300 MILEE PER ACRE,ASKED ABOUT FERTILIZER DOSE FOR SUGARCANE ?
780,Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.,ASKING ABOUT SPRAY FOR FLOWERING on cotton?
781,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER,asked about drenching for cotton ?
782,FERTILIZER DOSE- SPRAY 00 52 34 60 GM + MICROLA 30 ML/15 Lit of Water THROUGH DRIP,ASKED ABOUT INCREASE FRUIT SIZE ?
783,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF POD BORER ?
784,Spray Ullala 8 gm+ ACETAMAPRIDE 8 GRAM /15 Lit of Water. (Flonicamid 50% WG) UPL,ASKED ABOUT WHITE FLY ATTACK ON COTTON?
785,Humnasur 1 kg/acre(Patil Biotech),ATTACK OF WHITE GRUB on cotton ?
786,WILT ON TUR-Drenching of Chloropyriphos 40 ml / 15 lit of water.,ASKED ABOUT WILT ON TUR?
787,Market rate of capsicum-800-1200/qtl.,Asked about Market rate of capsicum?
788,"Spray Pride 07 gm /15 liter of water(Acetamapride 20SP)-Dow agro

Spray Arena Chocolate 1 / 15  liter of water",ASKING ABOUT ATTACK OF WHITE FLY on papaya ?
789,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER,ASKED ABOUT ATTACK OF WHITE GRUB IN PIGEON PEA ?
790,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE.,REDDENING ON COTTON ? ????????? ??????
791,SPRAY PLANOFIX 3 ML(Bayer)/15 LITER WATER.,FLOWER DROP on cotton ?
792,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS,SEED TREATMENT FOR BENGAL GRAM?
793,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ON PIGEON PEA ?
