QueryText,KCCAns
ASKING ABOUT ATTACK OF BLIGHT GINGER ?,"Spray Ridomil Gold 45 gm/15 Liter of Water(64% w/wmancozeb+4% w/wmetalaxyl-M)-Syngenta Contact,Systemic,Protectant"
ASKING ABOUT ATTACK OF BLIGHT GINGER ?,"Spray Ridomil Gold 45 gm/15 Liter of Water(64% w/wmancozeb+4% w/wmetalaxyl-M)-Syngenta Contact,Systemic,Protectant"
ASKED ABOUT MARKET RATE OF SORGHUM ?,JALNA MARKET RATE OF SORGHUM-1350-2400 RS/QUINTAL
ASKED ABOUT MARKET RATE OF SORGHUM ?,JALNA MARKET RATE OF SORGHUM-1350-2400 RS/QUINTAL
ASKED ABOUT ATTACK OF WILT IN GINGER ?,ATTACK OF WILT IN GINGER : 	Drenching of Chloropyriphos 40 ml / 15 lit of water.
ASKED ABOUT ATTACK OF WILT IN GINGER ?,ATTACK OF WILT IN GINGER : 	Drenching of Chloropyriphos 40 ml / 15 lit of water.
farmer asked about attack of sucking pest ?,For control of Attack of sucking pest:- Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )
farmer asked about attack of sucking pest ?,For control of Attack of sucking pest:- Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )
ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
ASKED ABOUT TOMATO VARIETIES?,"TOMATO VARIETIES- PUSA RUBI, ABHINAV, VAISHALI, SHITAL ,PUSA EARLY DWARF"
ASKED ABOUT TOMATO VARIETIES?,"TOMATO VARIETIES- PUSA RUBI, ABHINAV, VAISHALI, SHITAL ,PUSA EARLY DWARF"
ASKED ABOUT ATTACK OF APHIDS AND WHITE FLY ON COTTON?,
ASKED ABOUT ATTACK OF APHIDS AND WHITE FLY ON COTTON?,
ATTACK OF APHIDS on cotton  ?,attack of aphids on cotton - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
ATTACK OF APHIDS on cotton  ?,attack of aphids on cotton - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
ATTACK OF SHOOT BORER ?,Spray of solomon 8ml/15 liter water.
ATTACK OF SHOOT BORER ?,Spray of solomon 8ml/15 liter water.
ATTACK OF GRAM POD BORER on leafy vegetable ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ATTACK OF GRAM POD BORER on leafy vegetable ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OFJINTUR - 5835-5900 RS/QTL
FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OFJINTUR - 5835-5900 RS/QTL
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
ATTACK OF SUCKING PEST ?,Spray of Lancer Gold 30 GM /15 LITERS OF WATER .
ATTACK OF SUCKING PEST ?,Spray of Lancer Gold 30 GM /15 LITERS OF WATER .
FARMER ASKED ABOUT MARKET RATE OF MAIZE ?,MARKET RATE OF MAIZE- AURANGABAD=1020-	1060 RS/QTL
FARMER ASKED ABOUT MARKET RATE OF MAIZE ?,MARKET RATE OF MAIZE- AURANGABAD=1020-	1060 RS/QTL
ASKED ABOUT WILT ATTACK ON MARIGOLD?,DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
ASKED ABOUT WILT ATTACK ON MARIGOLD?,DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
ASKED ABOUT attack of sucking pest?,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
ASKED ABOUT attack of sucking pest?,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19- 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19- 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
ATTACK OF PINK BOLLWORM ON COTTON ?,Spray of larvin 30gm/15 liter water.
ATTACK OF PINK BOLLWORM ON COTTON ?,Spray of larvin 30gm/15 liter water.
Asking About Market Rate 9of cotton ?,Market Rate of cotton 4800-5200  rupees/qtl
Asking About Market Rate 9of cotton ?,Market Rate of cotton 4800-5200  rupees/qtl
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
BLIGHT ATTACK ON ONION ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
BLIGHT ATTACK ON ONION ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
ASKING ABOUT GINGERBLIGHT?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
ASKING ABOUT GINGERBLIGHT?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
ASKED ABOUT NUTRIENT MANAGEMENT IN GINGER ?,NUTRIENT MANAGEMENT IN GINGER - SPRAY 19 19 19 40 3KG  + MICROLLA 30 0ML THROUGH DRIP IRRIGATION .
ASKED ABOUT NUTRIENT MANAGEMENT IN GINGER ?,NUTRIENT MANAGEMENT IN GINGER - SPRAY 19 19 19 40 3KG  + MICROLLA 30 0ML THROUGH DRIP IRRIGATION .
Attack of Fruit Borer ON BRINJAL?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
Attack of Fruit Borer ON BRINJAL?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
Attack of Fruit Borer ?,Spray Neem ark 30 ml/15 liter water.
Attack of Fruit Borer ?,Spray Neem ark 30 ml/15 liter water.
VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
ASKED ABOUT MARKET RATE OF mosambi ?,MARKET RATE OF mosambi for mumbai market - 1000- 3000 RS/QUINTAL
ASKED ABOUT MARKET RATE OF mosambi ?,MARKET RATE OF mosambi for mumbai market - 1000- 3000 RS/QUINTAL
ATTACK OF MIDGE FLY ON GINGER?,Drenching of Chloropyriphos 25 ml / 15 lit of water.
ATTACK OF MIDGE FLY ON GINGER?,Drenching of Chloropyriphos 25 ml / 15 lit of water.
Attack of White Grub ?,Use Fertera 4 kg /acre
Attack of White Grub ?,Use Fertera 4 kg /acre
ASKING ABOUT ATTACK OF WHITE GRUB?,ATTACK OF WHITE GRUB APPLY 300ML CHLOROPYRIFOS / ACRE THROUGH DRIP
ASKING ABOUT ATTACK OF WHITE GRUB?,ATTACK OF WHITE GRUB APPLY 300ML CHLOROPYRIFOS / ACRE THROUGH DRIP
asked about nutrient for mosambi ?,"nutrient for mosambi - application of 10 26 26 + urea , 100 gm / plant"
asked about nutrient for mosambi ?,"nutrient for mosambi - application of 10 26 26 + urea , 100 gm / plant"
Asked about Minimum support price of cotton?,Minimum support price of cotton-5150/qtl.
Asked about Minimum support price of cotton?,Minimum support price of cotton-5150/qtl.
ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
asked about fertilizer dose for turmeric?,fertilizer dose for turmeric:- 10 : 26 : 26 50 kg + micronutrient 10 kg / acre.
asked about fertilizer dose for turmeric?,fertilizer dose for turmeric:- 10 : 26 : 26 50 kg + micronutrient 10 kg / acre.
asked about blight on fodder crop because of weed management ?,use taba-2 mili / 15 liter water
asked about blight on fodder crop because of weed management ?,use taba-2 mili / 15 liter water
asking about fertilizer dose for mango?,"One-year-old plant should be able to dug a 15 kg compost manure, 150 gm of nitrogen, 50 grams of phosphorus, 100 gms, at the beginning of the monsoon rains. Every year, by increasing this quantity in equanimity, every plant should be given 50 kg compost manure, 1.5 kg nitrogen, 500 gm phosphorus and 1 kg polyash buds in June for each plant."
asking about fertilizer dose for mango?,"One-year-old plant should be able to dug a 15 kg compost manure, 150 gm of nitrogen, 50 grams of phosphorus, 100 gms, at the beginning of the monsoon rains. Every year, by increasing this quantity in equanimity, every plant should be given 50 kg compost manure, 1.5 kg nitrogen, 500 gm phosphorus and 1 kg polyash buds in June for each plant."
Asked About Attack of White Grub On Chilli ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER.
Asked About Attack of White Grub On Chilli ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER.
ASKED ABOUT ATTACK OF APHIDS ON CHILLI ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
ASKED ABOUT ATTACK OF APHIDS ON CHILLI ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
Asked about Attack of wilt on coconut?,Spray of Bavistine 30gm/15lit of Water.
Asked about Attack of wilt on coconut?,Spray of Bavistine 30gm/15lit of Water.
ASKED ABOUT ATTACK BLIGHT ON GINGER?,ATTACK BLIGHT ON GINGER: SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
ASKED ABOUT ATTACK BLIGHT ON GINGER?,ATTACK BLIGHT ON GINGER: SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
asked about attack of stem borer.,"Vegetable fruit and pebbles in the wild usually cause 40 percent of the pests. If neglected and sprayed properly, this loss can go up to 80%. This larvae enters the leaf stalks, tamarind, flora or fruit and pours it inside.

Eight to ten generations of pests are completed year after year. The larvae that enters the egg enters the stool and then into the stems from the main vein of the leaf. Pestily roasted insects look dry after drying completely."
asked about attack of stem borer.,"Vegetable fruit and pebbles in the wild usually cause 40 percent of the pests. If neglected and sprayed properly, this loss can go up to 80%. This larvae enters the leaf stalks, tamarind, flora or fruit and pours it inside.

Eight to ten generations of pests are completed year after year. The larvae that enters the egg enters the stool and then into the stems from the main vein of the leaf. Pestily roasted insects look dry after drying completely."
asked about attack of stem borer,"It is necessary to control the pest at the beginning. Before this, before harvesting on flowering, apply 4 to 6 cigarette traps."
asked about attack of stem borer,"It is necessary to control the pest at the beginning. Before this, before harvesting on flowering, apply 4 to 6 cigarette traps."
ATTACK OF SHOOT BORER  in brinjal,Spray Proclaim (Emamectin Benzoate 5% SG) 5gm/15liter of Water.
ATTACK OF SHOOT BORER  in brinjal,Spray Proclaim (Emamectin Benzoate 5% SG) 5gm/15liter of Water.
Attack of White Grub,Drenching of Chloropyriphos 40 ml / 15 lit of water.
Attack of White Grub,Drenching of Chloropyriphos 40 ml / 15 lit of water.
ATTACK OF SUCKING PEST ?,Spray Neem ark 15 ml/15 liter water.
ATTACK OF SUCKING PEST ?,Spray Neem ark 15 ml/15 liter water.
ASKED ABOUT FERTILIZER DOSE ON GINGER?,FERTILIZER DOSE ON GINGER: 00:52:34 3 KG / ACRE.
ASKED ABOUT FERTILIZER DOSE ON GINGER?,FERTILIZER DOSE ON GINGER: 00:52:34 3 KG / ACRE.
FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,"MARKET RATE OF SOYABEAN -2900,	3070,	2985 RS/QTL"
FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,"MARKET RATE OF SOYABEAN -2900,	3070,	2985 RS/QTL"
ATTACK OF  CATERPILLAR ?,Spray Neem ark 15 ml/15 liter water.
ATTACK OF  CATERPILLAR ?,Spray Neem ark 15 ml/15 liter water.
ASKED VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
ASKED VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
ASKING ABOUT FERTILIZER DOSE FOR gram ?,FERTILIZER DOSE FOR gram-APPLICATION OF 18 46 00 -50 KG  /ACRE
ASKING ABOUT FERTILIZER DOSE FOR gram ?,FERTILIZER DOSE FOR gram-APPLICATION OF 18 46 00 -50 KG  /ACRE
Flower Drop ON COTTON ?,"Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER

+APPLICATION OF BORON 500 GM  +CALCIUM NITRATE 500 GM THROUGH DRIP"
Flower Drop ON COTTON ?,"Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER

+APPLICATION OF BORON 500 GM  +CALCIUM NITRATE 500 GM THROUGH DRIP"
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
asking about ATTACK OF SUCKING PEST on ginger ?,ATTACK OF SUCKING PEST on ginger - SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin2.5 ec ) SYNGENTA
asking about ATTACK OF SUCKING PEST on ginger ?,ATTACK OF SUCKING PEST on ginger - SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin2.5 ec ) SYNGENTA
asking about FERTILIZER SPRAY FOR GROWTH on onion ?,FERTILIZER SPRAY FOR GROWTH on onion - SPRAY 19 19 19  60 GM + MICROLLA 30 ML + Bavistine 30gm /15 LITERS OF WATER
asking about FERTILIZER SPRAY FOR GROWTH on onion ?,FERTILIZER SPRAY FOR GROWTH on onion - SPRAY 19 19 19  60 GM + MICROLLA 30 ML + Bavistine 30gm /15 LITERS OF WATER
Leaf falling?,Use ethrel 2-4 ml/liter
Leaf falling?,Use ethrel 2-4 ml/liter
Downy or Blight or Powdery ?,Spray Antracol  45 gm/15 Liter of Water(Propineb)-Bayer
Downy or Blight or Powdery ?,Spray Antracol  45 gm/15 Liter of Water(Propineb)-Bayer
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,FOLIO GOLD 15 ml/ 15 LITERS OF WATER. SYNGENTA
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,FOLIO GOLD 15 ml/ 15 LITERS OF WATER. SYNGENTA
FERTILIZER APPLICATION ON LEMON,APPLY 00 52 34 3KG /150 Lit of Water.
FERTILIZER APPLICATION ON LEMON,APPLY 00 52 34 3KG /150 Lit of Water.
ASKING ABOUT  DRENCHING ?,DRENCHING of Chloropyriphos 40 ml   + HUMIC ACID 30 ML/15 LITER WATER
ASKING ABOUT  DRENCHING ?,DRENCHING of Chloropyriphos 40 ml   + HUMIC ACID 30 ML/15 LITER WATER
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Bavistine 30gm + Quinolphos 30 ml /15lit of Water.
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Bavistine 30gm + Quinolphos 30 ml /15lit of Water.
FERTILIZER DOSE FOR SUGARCANE ?,APPLICATION OF 10 26 26 2 BAG + dap 1 bag   +   5 kg zinc sulphate +  5 kg feras sulphate
FERTILIZER DOSE FOR SUGARCANE ?,APPLICATION OF 10 26 26 2 BAG + dap 1 bag   +   5 kg zinc sulphate +  5 kg feras sulphate
CRAB CONTROL,Use 75 kg of cucumber control acetate @ 100 grams of carril @ 1 kg of rice mixed with rice as poisonous bait.
CRAB CONTROL,Use 75 kg of cucumber control acetate @ 100 grams of carril @ 1 kg of rice mixed with rice as poisonous bait.
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 13 00 45 60 GM + MICROLLA 30 ML /15 LITERS OF WATER.
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 13 00 45 60 GM + MICROLLA 30 ML /15 LITERS OF WATER.
asked about attack of powdari mildew on papaya ?,attack of powdari mildew on papaya - spray contaf 1 ml / liter water
asked about attack of powdari mildew on papaya ?,attack of powdari mildew on papaya - spray contaf 1 ml / liter water
ASKING ABOUT CONTROLL OF BLIGHT ATTACK GIGER ?,CONTROLL OF BLIGHT ATTACK ON GIGER ?  = Spray Blue copper - 30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
ASKING ABOUT CONTROLL OF BLIGHT ATTACK GIGER ?,CONTROLL OF BLIGHT ATTACK ON GIGER ?  = Spray Blue copper - 30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 40 60 GM + vipul  30 ML /15 LITERS OF WATER
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 40 60 GM + vipul  30 ML /15 LITERS OF WATER
VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30"
VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30"
VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30"
VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30"
Asked about Nematode attack on Mosambi ?,TO CONTROL NEMATODE- YOU CAN APPLY PAYSILOMYSIS 2 MILI/LITER WATER
Asked about Nematode attack on Mosambi ?,TO CONTROL NEMATODE- YOU CAN APPLY PAYSILOMYSIS 2 MILI/LITER WATER
ASKED ABOUT MARKET RATE OF ?,MAIZE MARKET RATE OF -550 RS/QUINTAL
ASKED ABOUT MARKET RATE OF ?,MAIZE MARKET RATE OF -550 RS/QUINTAL
FARMER ASKED ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF - 5211/QTL
FARMER ASKED ABOUT MARKET RATE OF COTTON ?,MARKET RATE OF - 5211/QTL
FERTILIZER SPRAY ON cotton ?,SPRAY 12 : 61 : 00 = 40 GM / 15 LITERS OF WATER
FERTILIZER SPRAY ON cotton ?,SPRAY 12 : 61 : 00 = 40 GM / 15 LITERS OF WATER
asking about fruit borer on brinjal?,spraying of quinalphos 20ml/15 litre of water.
asking about fruit borer on brinjal?,spraying of quinalphos 20ml/15 litre of water.
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
farmer asked about Flower Drop in cotton ?,Flower Drop in cotton - Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
farmer asked about Flower Drop in cotton ?,Flower Drop in cotton - Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 5000	7000	RS/QUINTAL
ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 5000	7000	RS/QUINTAL
Asking About Market Rate?,Market Rate Of ONION :-800	1300	1175  Rupees/Qtl
Asking About Market Rate?,Market Rate Of ONION :-800	1300	1175  Rupees/Qtl
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ON GINGER ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE.
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ON GINGER ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE.
ATTACK OF SUCKING PEST on capsicum?,SUCKING PEST on capsicum-Spray Ullala 8 gm/15 Lit of Water.UPL
ATTACK OF SUCKING PEST on capsicum?,SUCKING PEST on capsicum-Spray Ullala 8 gm/15 Lit of Water.UPL
Asking About Market Rate COTTON  ?,Market Rate of  COTTON= YAWAL=	4850-5650 rupees/qtl
Asking About Market Rate COTTON  ?,Market Rate of  COTTON= YAWAL=	4850-5650 rupees/qtl
FARMER ASKED ABOUT MARKET RATE OF pomegranate ?,MARKET RATE OF pomegranate 250-17500 RS/QTL
FARMER ASKED ABOUT MARKET RATE OF pomegranate ?,MARKET RATE OF pomegranate 250-17500 RS/QTL
Asked about Attack of shoot borer on brinjal?,Spray of solomon 8ml/15 liter water.
Asked about Attack of shoot borer on brinjal?,Spray of solomon 8ml/15 liter water.
ASKED ABOUT Attack of White Grub ON SUGARCANE ?,Humnasur 6 kg/acre(Patil Biotech)
ASKED ABOUT Attack of White Grub ON SUGARCANE ?,Humnasur 6 kg/acre(Patil Biotech)
FARMER ASKED ABOUT MARKET RATE of ONION?,MARKETE RATE OF ONION-300-1900  RS/QTL
FARMER ASKED ABOUT MARKET RATE of ONION?,MARKETE RATE OF ONION-300-1900  RS/QTL
Asked about Market rate of onion?,Market rate of onion-500-1851 Rs/qtl.
Asked about Market rate of onion?,Market rate of onion-500-1851 Rs/qtl.
Attack of White Fly  ON RED GRAM ?,Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron50 wp)  SYNGENTA
Attack of White Fly  ON RED GRAM ?,Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron50 wp)  SYNGENTA
asked about attack of caterpillar on rose ?,attack of caterpillar on rose - spray proklem 7 gm / 15 liter water
asked about attack of caterpillar on rose ?,attack of caterpillar on rose - spray proklem 7 gm / 15 liter water
VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
ATTACK OF SUCKING PEST ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ATTACK OF SUCKING PEST ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
REDDNING ON COTTON ?,"SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER .

Apply MAGNESIUM SULPHATE 10 KG+ UREA 12 KG/ACRE."
REDDNING ON COTTON ?,"SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER .

Apply MAGNESIUM SULPHATE 10 KG+ UREA 12 KG/ACRE."
"ASKED ABOUT REDNING OF COTTON ?

ATTACK OF LEAF EATING CATERPILLAR ?","SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE 

Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta"
"ASKED ABOUT REDNING OF COTTON ?

ATTACK OF LEAF EATING CATERPILLAR ?","SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE 

Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta"
asked about fertilizer dose,12:61:00 3 kilo / ACRE through drip.
asked about fertilizer dose,12:61:00 3 kilo / ACRE through drip.
ASKED ABOUT VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE - P 3396,3552,3401, SYNGENTA NK-6240"
ASKED ABOUT VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE - P 3396,3552,3401, SYNGENTA NK-6240"
ATTACK OF APHIDS ?,Lancer Gold 51.8 SP 30 GM+m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
ATTACK OF APHIDS ?,Lancer Gold 51.8 SP 30 GM+m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
INCREASE FLOWER PERCENTAGE ON CHILLI?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
INCREASE FLOWER PERCENTAGE ON CHILLI?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
ASKING ABOUT REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ASKING ABOUT REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ATTACK OF PINK BOLLWORM ON COTTON ?,SPRAY Spinosad 3.5 ML / 10 lit of water
ATTACK OF PINK BOLLWORM ON COTTON ?,SPRAY Spinosad 3.5 ML / 10 lit of water
SEED TREATMENT FOR BENGAL GRAM ?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
SEED TREATMENT FOR BENGAL GRAM ?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
BLIGHT ATTACK  on onion?,"1) M 45 40 GRAM /15 LITER WATER 



2)Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta"
BLIGHT ATTACK  on onion?,"1) M 45 40 GRAM /15 LITER WATER 



2)Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta"
Asked about Market rate of onion?,Market rate of onion-800-2201 Rs/qtl.
Asked about Market rate of onion?,Market rate of onion-800-2201 Rs/qtl.
REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE.
REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE.
BLIGHT ATTACK ONION  ?,Spraying should be done in M-45 40 g / 15 liter water.
BLIGHT ATTACK ONION  ?,Spraying should be done in M-45 40 g / 15 liter water.
ATTACK OF APHIDS  MOSAMBI?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ATTACK OF APHIDS  MOSAMBI?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
FARMER ASKED ABOUT MARKET RATE of Marigold ?,"MARKET RATE of  Marigold- 1000,	1600, 1400 RS/QTL"
FARMER ASKED ABOUT MARKET RATE of Marigold ?,"MARKET RATE of  Marigold- 1000,	1600, 1400 RS/QTL"
FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -	500	1600 RS/QTL
FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -	500	1600 RS/QTL
Asked about Market rate of onion?,Market rate of onion-300-2600 Rs/qtl.
Asked about Market rate of onion?,Market rate of onion-300-2600 Rs/qtl.
